"","","", "java-fannkuch-redux", "java-reverse-complement", "java-fasta", "java-n-body", "kotlin-converted-fannkuch-redux", "kotlin-converted-reverse-complement", "kotlin-converted-fasta", "kotlin-converted-n-body", "kotlin-idiomatic-fannkuch-redux", "kotlin-idiomatic-reverse-complement", "kotlin-idiomatic-fasta", "kotlin-idiomatic-n-body"
Implementation, "", "", "java", "java", "java", "java", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic"
"AGET FLOAT_TO_DOUBLE""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET IF_EQZ""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0, 0.0, 0.0
"AGET IF_LEZ""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0, 0.0, 0.0
"AGET SUB_INT""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_BYTE AGET_BYTE""","","", 0.0, 0.003875968992248062, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_BYTE APUT_BYTE""","","", 0.0, 0.003875968992248062, 0.014492753623188406, 0.0, 0.0, 0.0031746031746031746, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_BYTE CONST_16""","","", 0.0, 0.011627906976744186, 0.0, 0.0, 0.0, 0.004761904761904762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_BYTE IF_NE""","","", 0.0, 0.007751937984496124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_BYTE INT_TO_BYTE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031746031746031746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_BYTE INVOKE_DIRECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_BYTE INVOKE_STATIC""","","", 0.0, 0.003875968992248062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_CHAR INVOKE_VIRTUAL""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002053388090349076, 0.0
"AGET_OBJECT ADD_INT_LIT8""","","", 0.0, 0.0, 0.0, 0.0022271714922048997, 0.0, 0.0, 0.0, 0.001763668430335097, 0.0, 0.0, 0.002053388090349076, 0.001443001443001443
"AGET_OBJECT CONST_WIDE_HIGH16""","","", 0.0, 0.0, 0.0, 0.0022271714922048997, 0.0, 0.0, 0.0, 0.001763668430335097, 0.0, 0.0, 0.0, 0.0
"AGET_OBJECT IGET_WIDE""","","", 0.0, 0.0, 0.0, 0.017817371937639197, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_OBJECT INVOKE_STATIC""","","", 0.010416666666666666, 0.0, 0.004830917874396135, 0.0022271714922048997, 0.010101010101010102, 0.0, 0.0026666666666666666, 0.001763668430335097, 0.006666666666666667, 0.0, 0.002053388090349076, 0.001443001443001443
"AGET_OBJECT INVOKE_VIRTUAL""","","", 0.0, 0.003875968992248062, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0, 0.014109347442680775, 0.0, 0.0053475935828877, 0.01026694045174538, 0.0
"AGET_OBJECT INVOKE_VIRTUAL_RANGE""","","", 0.0, 0.0, 0.0, 0.0022271714922048997, 0.0, 0.0, 0.0, 0.01763668430335097, 0.0, 0.0, 0.0, 0.015873015873015872
"AGET_OBJECT MOVE_OBJECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001443001443001443
"AGET_OBJECT MOVE_OBJECT_FROM16""","","", 0.0, 0.0, 0.0, 0.0200445434298441, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001443001443001443
"AGET_OBJECT MOVE_WIDE_FROM16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004329004329004329
"AGET_WIDE DOUBLE_TO_FLOAT""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"AND_INT_LIT8 IF_EQZ""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020202020202020204
"APUT ADD_INT_LIT8""","","", 0.041666666666666664, 0.0, 0.00966183574879227, 0.0, 0.04040404040404041, 0.0, 0.005333333333333333, 0.0, 0.02666666666666667, 0.0, 0.0, 0.0
"APUT AGET""","","", 0.020833333333333332, 0.0, 0.0, 0.0, 0.020202020202020204, 0.0, 0.0, 0.0, 0.013333333333333334, 0.0, 0.0, 0.0
"APUT MOVE""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT NOP""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0, 0.0, 0.0
"APUT SUB_INT""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE ADD_INT_LIT8""","","", 0.0, 0.011627906976744186, 0.00966183574879227, 0.0, 0.0, 0.004761904761904762, 0.005333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE APUT_BYTE""","","", 0.0, 0.003875968992248062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE CONST_16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE CONST_4""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE GOTO""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE NEW_ARRAY""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE RETURN_VOID""","","", 0.0, 0.003875968992248062, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE SGET_OBJECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015873015873015873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE SUB_INT""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_BYTE SUB_INT_2ADDR""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_OBJECT ARRAY_LENGTH""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002886002886002886
"APUT_OBJECT CONST_16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030800821355236138, 0.005772005772005772
"APUT_OBJECT CONST_4""","","", 0.0, 0.0, 0.0, 0.008908685968819599, 0.0, 0.0, 0.0, 0.007054673721340388, 0.0, 0.0, 0.04106776180698152, 0.0
"APUT_OBJECT INVOKE_STATIC""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004106776180698152, 0.0
"APUT_OBJECT INVOKE_VIRTUAL""","","", 0.0, 0.0, 0.0, 0.004454342984409799, 0.0, 0.0, 0.0, 0.003527336860670194, 0.0, 0.0, 0.0, 0.0
"APUT_OBJECT IPUT_OBJECT""","","", 0.0, 0.0, 0.0, 0.0022271714922048997, 0.0, 0.0, 0.0, 0.001763668430335097, 0.0, 0.0, 0.0, 0.0
"APUT_OBJECT MOVE_OBJECT_FROM16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002053388090349076, 0.001443001443001443
"ARRAY_LENGTH CONST_4""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002053388090349076, 0.001443001443001443
"ARRAY_LENGTH IF_GE""","","", 0.0, 0.003875968992248062, 0.00966183574879227, 0.0022271714922048997, 0.0, 0.0, 0.005333333333333333, 0.0, 0.0, 0.0, 0.004106776180698152, 0.0
"ARRAY_LENGTH IF_LE""","","", 0.0, 0.007751937984496124, 0.0, 0.0, 0.0, 0.0031746031746031746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ARRAY_LENGTH IF_LEZ""","","", 0.010416666666666666, 0.0, 0.004830917874396135, 0.0, 0.010101010101010102, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"ARRAY_LENGTH IF_NE""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.002053388090349076, 0.0
