"","","", "java-fannkuch-redux", "java-reverse-complement", "java-fasta", "java-n-body", "kotlin-converted-fannkuch-redux", "kotlin-converted-reverse-complement", "kotlin-converted-fasta", "kotlin-converted-n-body", "kotlin-idiomatic-fannkuch-redux", "kotlin-idiomatic-reverse-complement", "kotlin-idiomatic-fasta", "kotlin-idiomatic-n-body"
Implementation, "", "", "java", "java", "java", "java", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic"
"IF_LE""","","", 0.0, 0.018050541516245487, 0.0, 0.0, 0.0, 0.006983240223463687, 0.0, 0.0, 0.006097560975609756, 0.0, 0.0, 0.0
"IF_LEZ""","","", 0.019230769230769232, 0.010830324909747292, 0.01276595744680851, 0.0, 0.01834862385321101, 0.004189944134078212, 0.007058823529411765, 0.0, 0.006097560975609756, 0.0, 0.003875968992248062, 0.0
"IF_LT""","","", 0.0, 0.0, 0.00851063829787234, 0.0, 0.0, 0.0, 0.004705882352941176, 0.0, 0.0, 0.0, 0.007751937984496124, 0.0
"IF_LTZ""","","", 0.0, 0.007220216606498195, 0.0, 0.0, 0.0, 0.0013966480446927375, 0.0, 0.0, 0.0, 0.0049261083743842365, 0.001937984496124031, 0.0
"IF_NE""","","", 0.009615384615384616, 0.018050541516245487, 0.01276595744680851, 0.0, 0.009174311926605505, 0.006983240223463687, 0.007058823529411765, 0.0, 0.006097560975609756, 0.0049261083743842365, 0.005813953488372093, 0.0
"IF_NEZ""","","", 0.009615384615384616, 0.0036101083032490976, 0.0, 0.0, 0.009174311926605505, 0.0013966480446927375, 0.004705882352941176, 0.0, 0.018292682926829267, 0.009852216748768473, 0.007751937984496124, 0.009536784741144414
"IGET""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03058823529411765, 0.0, 0.0, 0.0, 0.025193798449612403, 0.0
"IGET_OBJECT""","","", 0.0, 0.0, 0.02553191489361702, 0.0536480686695279, 0.0, 0.0, 0.02823529411764706, 0.04071661237785016, 0.0, 0.029556650246305417, 0.0, 0.02861035422343324
"IGET_WIDE""","","", 0.0, 0.0, 0.0, 0.09656652360515021, 0.0, 0.0, 0.0, 0.011400651465798045, 0.0, 0.0, 0.005813953488372093, 0.0667574931880109
"INT_TO_BYTE""","","", 0.0, 0.010830324909747292, 0.0, 0.0, 0.0, 0.0111731843575419, 0.04941176470588235, 0.0, 0.0, 0.0, 0.0, 0.0
"INT_TO_DOUBLE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007751937984496124, 0.0
"INT_TO_FLOAT""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0, 0.004705882352941176, 0.0, 0.0, 0.0, 0.0, 0.0
"INVOKE_DIRECT""","","", 0.019230769230769232, 0.007220216606498195, 0.03829787234042553, 0.019313304721030045, 0.01834862385321101, 0.16759776536312848, 0.03294117647058824, 0.019543973941368076, 0.018292682926829267, 0.07389162561576355, 0.031007751937984496, 0.005449591280653951
"INVOKE_DIRECT_RANGE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006097560975609756, 0.0, 0.005813953488372093, 0.01226158038147139
"INVOKE_INTERFACE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04433497536945813, 0.011627906976744186, 0.0
"INVOKE_INTERFACE_RANGE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018292682926829267, 0.0, 0.003875968992248062, 0.0
"INVOKE_STATIC""","","", 0.019230769230769232, 0.07220216606498195, 0.02127659574468085, 0.019313304721030045, 0.027522935779816515, 0.05865921787709497, 0.05411764705882353, 0.013029315960912053, 0.03048780487804878, 0.04433497536945813, 0.08527131782945736, 0.0340599455040872
"INVOKE_STATIC_RANGE""","","", 0.0, 0.0, 0.0, 0.002145922746781116, 0.0, 0.0, 0.0, 0.0016286644951140066, 0.006097560975609756, 0.0, 0.0, 0.0013623978201634877
"INVOKE_VIRTUAL""","","", 0.07692307692307693, 0.04332129963898917, 0.09361702127659574, 0.01072961373390558, 0.07339449541284404, 0.01675977653631285, 0.07294117647058823, 0.15798045602605862, 0.08536585365853659, 0.11330049261083744, 0.05813953488372093, 0.0653950953678474
"INVOKE_VIRTUAL_RANGE""","","", 0.0, 0.0, 0.00425531914893617, 0.002145922746781116, 0.0, 0.0, 0.007058823529411765, 0.030944625407166124, 0.0, 0.0, 0.007751937984496124, 0.03678474114441417
"IPUT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004705882352941176, 0.0, 0.0, 0.0, 0.009689922480620155, 0.0
"IPUT_OBJECT""","","", 0.0, 0.0, 0.00851063829787234, 0.002145922746781116, 0.0, 0.0, 0.01411764705882353, 0.0016286644951140066, 0.0, 0.024630541871921183, 0.0, 0.0013623978201634877
"IPUT_WIDE""","","", 0.0, 0.0, 0.0, 0.08798283261802575, 0.0, 0.0, 0.0, 0.016286644951140065, 0.0, 0.0, 0.005813953488372093, 0.01907356948228883
"LONG_TO_INT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009536784741144414
"MOVE""","","", 0.009615384615384616, 0.007220216606498195, 0.029787234042553193, 0.0, 0.009174311926605505, 0.009776536312849162, 0.021176470588235293, 0.003257328990228013, 0.036585365853658534, 0.0049261083743842365, 0.013565891472868217, 0.0013623978201634877
"MOVE_EXCEPTION""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009852216748768473, 0.0, 0.0
"MOVE_FROM16""","","", 0.0673076923076923, 0.0, 0.00851063829787234, 0.02575107296137339, 0.06422018348623854, 0.0, 0.004705882352941176, 0.019543973941368076, 0.08536585365853659, 0.0, 0.007751937984496124, 0.017711171662125342
"MOVE_OBJECT""","","", 0.0, 0.0, 0.0, 0.0, 0.009174311926605505, 0.13128491620111732, 0.03058823529411765, 0.019543973941368076, 0.006097560975609756, 0.06403940886699508, 0.009689922480620155, 0.0013623978201634877
"MOVE_OBJECT_FROM16""","","", 0.0, 0.0, 0.01276595744680851, 0.1351931330472103, 0.0, 0.0, 0.009411764705882352, 0.0732899022801303, 0.018292682926829267, 0.034482758620689655, 0.044573643410852716, 0.07901907356948229
"MOVE_RESULT""","","", 0.028846153846153848, 0.02888086642599278, 0.01276595744680851, 0.002145922746781116, 0.027522935779816515, 0.09217877094972067, 0.03058823529411765, 0.0016286644951140066, 0.03048780487804878, 0.04926108374384237, 0.011627906976744186, 0.010899182561307902
"MOVE_RESULT_OBJECT""","","", 0.04807692307692308, 0.021660649819494584, 0.06382978723404255, 0.015021459227467811, 0.045871559633027525, 0.06564245810055866, 0.03529411764705882, 0.011400651465798045, 0.0975609756097561, 0.08866995073891626, 0.11627906976744186, 0.031335149863760216
